participant,image,image_type,RT
S003,S04,ingroup,802.9848235227264
S003,S05,ingroup,668.971819385509
S003,S06,ingroup,627.8232761448255
S003,S07,ingroup,1210.6246462880579
S003,S08,ingroup,712.1334734604679
S003,S09,ingroup,756.0462981668079
S003,S10,ingroup,564.9831073344137
S003,S11,ingroup,593.0817763216965
S003,S12,ingroup,960.416843385588
S003,S13,ingroup,446.8879849907169
S003,S14,ingroup,605.0316903906264
S003,S15,ingroup,518.4868763043921
S003,S16,ingroup,1052.1741468642365
S003,S17,ingroup,664.9637248540365
S003,S18,ingroup,555.5355134254546
S003,S19,ingroup,767.180580702323
S003,S20,ingroup,733.794213489228
S003,S21,ingroup,734.0688974373581
S003,S22,ingroup,632.3582987191783
S003,S23,ingroup,597.0213318864013
S003,S24,ingroup,630.3040196068187
S003,S25,ingroup,752.9753357307169
S003,S26,outgroup,939.2619246501263
S003,S27,outgroup,1140.013820006116
S003,S28,outgroup,1022.3329763320088
S003,S29,outgroup,797.9279663968894
S003,S30,outgroup,901.1731294011684
S003,S31,outgroup,458.0966933528556
S003,S32,outgroup,727.5233679701809
S003,S33,outgroup,693.5820943675132
S003,S34,outgroup,909.428472468403
S003,S35,outgroup,726.648579321849
S003,S36,outgroup,572.3763775932069
S003,S37,outgroup,656.4955246643497
S003,S38,outgroup,949.7930227153403
S003,S39,outgroup,596.5509439414425
S003,S40,outgroup,537.9331559882564
S003,S41,outgroup,1067.9415368776067
S003,S42,outgroup,985.3574186000141
S003,S43,outgroup,753.8282906005196
S003,S44,outgroup,884.1645941172206
S003,S45,outgroup,722.7440933089979
S003,S46,outgroup,909.1310291991374
S003,S47,outgroup,445.3296518222809
S003,S48,outgroup,757.2895103519357
S003,S49,outgroup,854.4926879279329
S003,S50,outgroup,173.28641125343376
S004,S01,ingroup,534.8795723000812
S004,S02,ingroup,851.7038801286466
S004,S03,ingroup,577.7921766295731
S004,S04,ingroup,630.3836373501867
S004,S05,ingroup,605.980760487368
S004,S06,ingroup,683.0345703543577
S004,S07,ingroup,951.8855552457727
S004,S08,ingroup,980.3550178765984
S004,S09,ingroup,563.8160786423861
S004,S10,ingroup,849.8779346251326
S004,S11,ingroup,746.0605418402017
S004,S12,ingroup,755.8932553829287
S004,S13,ingroup,258.14876042255037
S004,S14,ingroup,602.8359665779547
S004,S15,ingroup,809.9935675570507
S004,S16,ingroup,795.2645662451793
S004,S17,ingroup,510.43393443992704
S004,S18,ingroup,752.2509665941966
S004,S19,ingroup,128.23580945058552
S004,S20,ingroup,731.0044991865379
S004,S21,ingroup,721.6858057414622
S004,S22,ingroup,887.5676930900563
S004,S23,ingroup,444.3805675621717
S004,S24,ingroup,550.2579030151
S004,S25,ingroup,645.8686325653287
S004,S26,outgroup,727.5147075862502
S004,S27,outgroup,846.5107624410721
S004,S28,outgroup,845.0522079793369
S004,S29,outgroup,1158.8652498413892
S004,S30,outgroup,287.98801630012645
S004,S31,outgroup,745.7685229488814
S004,S32,outgroup,929.0474256138946
S004,S33,outgroup,533.7847009669179
S004,S34,outgroup,791.9283125959283
S004,S35,outgroup,508.1957251560089
S004,S36,outgroup,492.8053873781114
S004,S37,outgroup,855.4873752996344
S004,S38,outgroup,269.82215092007016
S004,S39,outgroup,864.3545762433508
S004,S40,outgroup,955.9792820477307
S004,S41,outgroup,1002.9393438812663
S004,S42,outgroup,510.39140560270585
S004,S43,outgroup,461.61339647965275
S004,S44,outgroup,805.0428273456904
S004,S45,outgroup,1012.3119561089532
S004,S46,outgroup,457.8515939128866
S004,S47,outgroup,768.3062201065467
S004,S48,outgroup,871.2638563037359
S004,S49,outgroup,851.4473593578059
S004,S50,outgroup,419.3553420706784
S005,S01,ingroup,656.2221324958828
S005,S02,ingroup,892.3172001902363
S005,S03,ingroup,1196.9201569433121
S005,S04,ingroup,981.6550837885296
S005,S05,ingroup,571.8388639232849
S005,S06,ingroup,1127.642016100461
S005,S07,ingroup,799.6043635434252
S005,S08,ingroup,1136.4353326732537
S005,S09,ingroup,788.9019790492412
S005,S10,ingroup,385.56017599859103
S005,S11,ingroup,869.7109349741393
S005,S12,ingroup,566.5395821962163
S005,S13,ingroup,710.7669231541232
S005,S14,ingroup,612.890210987517
S005,S15,ingroup,551.9627486590734
S005,S16,ingroup,1564.2465959515866
S005,S17,ingroup,886.5715470203826
S005,S18,ingroup,907.4462595580685
S005,S19,ingroup,1072.8515461934544
S005,S20,ingroup,775.9764216220909
S005,S21,ingroup,1009.7169613683748
S005,S22,ingroup,1043.3085429933285
S005,S23,ingroup,883.1916655028112
S005,S24,ingroup,1386.55166548895
S005,S25,ingroup,814.7900559599003
S005,S26,outgroup,838.8669420176452
S005,S27,outgroup,849.8878329172604
S005,S28,outgroup,954.0771030463475
S005,S29,outgroup,1112.9626872529157
S005,S30,outgroup,1244.7067785595466
S005,S31,outgroup,878.5542148341398
S005,S32,outgroup,910.9934858872736
S005,S33,outgroup,792.7134852865806
S005,S34,outgroup,1225.5477372392384
S005,S35,outgroup,932.006654157764
S005,S36,outgroup,1030.186528127569
S005,S37,outgroup,1026.0105065148275
S005,S38,outgroup,994.6626710519558
S005,S39,outgroup,1300.863198445597
S005,S40,outgroup,1219.5753647445802
S005,S41,outgroup,602.8376226859609
S005,S42,outgroup,1148.8101509679836
S005,S43,outgroup,1035.636743234951
S005,S44,outgroup,549.96411641484
S005,S45,outgroup,1136.9700981230105
S005,S46,outgroup,869.859115268095
S005,S47,outgroup,921.3286870162333
S005,S48,outgroup,964.0920576370794
S005,S49,outgroup,1155.4078756546398
S005,S50,outgroup,1039.4189857039944
S006,S01,ingroup,426.2207327382152
S006,S02,ingroup,500.2475909630284
S006,S03,ingroup,770.2547656315729
S006,S04,ingroup,609.5715268863087
S006,S05,ingroup,471.7489271709622
S006,S06,ingroup,286.62189618546785
S006,S07,ingroup,728.4889340354099
S006,S08,ingroup,618.9468317177177
S006,S09,ingroup,608.0022196597274
S006,S10,ingroup,262.85930178640234
S006,S11,ingroup,482.2494163858256
S006,S12,ingroup,905.5591067104427
S006,S13,ingroup,705.2740785724675
S006,S14,ingroup,661.2569795776658
S006,S15,ingroup,404.2887699164762
S006,S16,ingroup,801.3506037886957
S006,S17,ingroup,93.3962949624231
S006,S18,ingroup,697.8498989429415
S006,S19,ingroup,534.5604537251498
S006,S20,ingroup,920.0596068805185
S006,S21,ingroup,486.347573963981
S006,S22,ingroup,707.7786363492471
S006,S23,ingroup,247.4348080301658
S006,S24,ingroup,713.8408751143181
S006,S25,ingroup,297.81285164867757
S006,S26,outgroup,612.2059477907125
S006,S27,outgroup,401.6760676909397
S006,S28,outgroup,866.5784557663737
S006,S29,outgroup,1032.2870478585285
S006,S30,outgroup,842.6553029270117
S006,S31,outgroup,710.9061432607695
S006,S32,outgroup,747.0363453014029
S006,S33,outgroup,851.9332489905728
S006,S34,outgroup,907.7995944529265
S006,S35,outgroup,772.8673829376894
S006,S36,outgroup,859.8786109352332
S006,S37,outgroup,1108.595452830303
S006,S38,outgroup,789.0591776505067
S006,S39,outgroup,911.5568525710027
S006,S40,outgroup,777.9059956686456
S006,S41,outgroup,1124.8628781000093
S006,S42,outgroup,1244.6860850095659
S006,S43,outgroup,637.7309096584995
S006,S44,outgroup,958.9157163285527
S006,S45,outgroup,589.4520456002329
S006,S46,outgroup,930.1488770706046
S006,S47,outgroup,798.3859310813269
S006,S48,outgroup,918.3471411937103
S006,S49,outgroup,556.6954729574952
S006,S50,outgroup,618.9802246331237
S007,S01,ingroup,905.6426722580233
S007,S02,ingroup,727.5730163582546
S007,S03,ingroup,793.4123750761279
S007,S04,ingroup,651.7206010893411
S007,S05,ingroup,978.6823591819527
S007,S06,ingroup,959.4570577865993
S007,S07,ingroup,1047.7297399819142
S007,S08,ingroup,780.1013307040728
S007,S09,ingroup,580.6400110931938
S007,S10,ingroup,860.4310343253869
S007,S11,ingroup,1274.0188138705937
S007,S12,ingroup,697.4411396878243
S007,S13,ingroup,285.27312710409745
S007,S14,ingroup,744.3610070854913
S007,S15,ingroup,462.2998180531065
S007,S16,ingroup,708.6904498690667
S007,S17,ingroup,690.0337921319882
S007,S18,ingroup,1262.3884626496306
S007,S19,ingroup,779.6933982024315
S007,S20,ingroup,768.5219313637751
S007,S21,ingroup,785.5056969527081
S007,S22,ingroup,930.4947035300941
S007,S23,ingroup,779.8821317388724
S007,S24,ingroup,1308.0413499562071
S007,S25,ingroup,510.36752063787776
S007,S26,outgroup,1341.668139973468
S007,S27,outgroup,874.6160352232642
S007,S28,outgroup,662.1891950542176
S007,S29,outgroup,1250.1209564463566
S007,S30,outgroup,734.5504437960151
S007,S31,outgroup,822.0388235836156
S007,S32,outgroup,862.6421173842648
S007,S33,outgroup,849.5667898539476
S007,S34,outgroup,805.2158001311749
S007,S35,outgroup,888.643180265295
S007,S36,outgroup,1115.2705631017125
S007,S37,outgroup,1121.697991500811
S007,S38,outgroup,1015.4915634093493
S007,S39,outgroup,831.8495706470065
S007,S40,outgroup,1146.767485328223
S007,S41,outgroup,873.3003825387792
S007,S42,outgroup,1172.3514688146472
S007,S43,outgroup,938.8447511775746
S007,S44,outgroup,792.7301948197219
S007,S45,outgroup,1277.0363328470896
S007,S46,outgroup,834.7870562212122
S007,S47,outgroup,1094.9271525295417
S007,S48,outgroup,1013.6960946019352
S007,S49,outgroup,675.6370907850433
S007,S50,outgroup,741.0789457692255
S008,S01,ingroup,1137.5840726880083
S008,S02,ingroup,783.9924733527776
S008,S03,ingroup,764.8193356273742
S008,S04,ingroup,680.6154221803855
S008,S05,ingroup,1089.5054531514215
S008,S06,ingroup,663.2786865703468
S008,S07,ingroup,1118.3628592849184
S008,S08,ingroup,729.491261323367
S008,S09,ingroup,969.0521765994547
S008,S10,ingroup,815.7604615380342
S008,S11,ingroup,919.0121074300728
S008,S12,ingroup,631.223351512467
S008,S13,ingroup,752.819658699947
S008,S14,ingroup,567.4181710876957
S008,S15,ingroup,580.7194683949479
S008,S16,ingroup,933.3613739973704
S008,S17,ingroup,499.5169761538058
S008,S18,ingroup,764.7170462864976
S008,S19,ingroup,649.6841163126788
S008,S20,ingroup,818.9643620977959
S008,S21,ingroup,563.8628266148454
S008,S22,ingroup,733.8191441142566
S008,S23,ingroup,624.9777406971866
S008,S24,ingroup,760.4507843688665
S008,S25,ingroup,1111.2565056367991
S008,S26,outgroup,1073.878449963199
S008,S27,outgroup,425.68876041618347
S008,S28,outgroup,1380.030552320586
S008,S29,outgroup,686.6469252335598
S008,S30,outgroup,781.4736580480346
S008,S31,outgroup,1053.3449959668396
S008,S32,outgroup,742.2429657485721
S008,S33,outgroup,885.3992235263033
S008,S34,outgroup,1090.479357761616
S008,S35,outgroup,730.9859459763002
S008,S36,outgroup,706.1947775168978
S008,S37,outgroup,614.8735333783612
S008,S38,outgroup,599.7582511205702
S008,S39,outgroup,1123.8322031106502
S008,S40,outgroup,829.2623772882736
S008,S41,outgroup,878.5773018973158
S008,S42,outgroup,716.8971045192884
S008,S43,outgroup,793.7875913302211
S008,S44,outgroup,455.25351386660583
S008,S45,outgroup,744.049129973003
S008,S46,outgroup,760.4029912944197
S008,S47,outgroup,888.1239266784582
S008,S48,outgroup,870.707310911995
S008,S49,outgroup,540.3936807107758
S008,S50,outgroup,419.2572747105333
S009,S01,ingroup,749.6105704679549
S009,S02,ingroup,1099.8826962712578
S009,S03,ingroup,584.85115089091
S009,S04,ingroup,540.3230340993626
S009,S05,ingroup,1035.8373603173518
S009,S06,ingroup,1056.1951340962044
S009,S07,ingroup,1067.2560945891207
S009,S08,ingroup,937.0084158255752
S009,S09,ingroup,1159.9670693341257
S009,S10,ingroup,951.6986376107943
S009,S11,ingroup,606.0915547440006
S009,S12,ingroup,947.970620584036
S009,S13,ingroup,420.7752471701946
S009,S14,ingroup,767.2375398304009
S009,S15,ingroup,388.6318246141734
S009,S16,ingroup,913.4726093594156
S009,S17,ingroup,937.2112803096568
S009,S18,ingroup,480.78090827402895
S009,S19,ingroup,494.7059581562115
S009,S20,ingroup,720.7458899952072
S009,S21,ingroup,524.0246057471991
S009,S22,ingroup,1020.8543528351614
S009,S23,ingroup,896.74040158430455
S009,S24,ingroup,1149.030894191314
S009,S25,ingroup,842.1730555001305
S009,S26,outgroup,480.62227016991886
S009,S27,outgroup,919.4686770550682
S009,S28,outgroup,1140.8783038923932
S009,S29,outgroup,627.4803778628163
S009,S30,outgroup,600.0116525357367
S009,S31,outgroup,699.9511168599006
S009,S32,outgroup,926.35473982743
S009,S33,outgroup,1150.7479879571729
S009,S34,outgroup,723.5458770387879
S009,S35,outgroup,1122.2629387968223
S009,S36,outgroup,1103.2994759784763
S009,S37,outgroup,1113.911657388535
S009,S38,outgroup,915.7425285539634
S009,S39,outgroup,1073.783868516104
S009,S40,outgroup,907.6994404716858
S009,S41,outgroup,1144.4080489472033
S009,S42,outgroup,879.9978121141307
S009,S43,outgroup,646.6038941525134
S009,S44,outgroup,736.6597511790801
S009,S45,outgroup,896.594493489891
S009,S46,outgroup,673.8320235412758
S009,S47,outgroup,1065.5221343705691
S009,S48,outgroup,984.4079236087891
S009,S49,outgroup,583.7936073132494
S009,S50,outgroup,684.5504433126697
S010,S01,ingroup,800.6232111140625
S010,S02,ingroup,886.5538369055355
S010,S03,ingroup,515.9869712003256
S010,S04,ingroup,768.959225281726
S010,S05,ingroup,458.6067040197127
S010,S06,ingroup,689.0628261652334
S010,S07,ingroup,716.865899320348
S010,S08,ingroup,768.84960530138585
S010,S09,ingroup,603.487255108352
S010,S10,ingroup,443.47055266126654
S010,S11,ingroup,680.7848750734645
S010,S12,ingroup,753.6823470946963
S010,S13,ingroup,314.4457127694693
S010,S14,ingroup,671.399455979507
S010,S15,ingroup,398.1159863889353
S010,S16,ingroup,945.4020003896443
S010,S17,ingroup,655.0727751128742
S010,S18,ingroup,554.7455171798133
S010,S19,ingroup,490.6559710463402
S010,S20,ingroup,915.2225716907183
S010,S21,ingroup,224.82095929999497
S010,S22,ingroup,740.4956930352885
S010,S23,ingroup,910.6641081767402
S010,S24,ingroup,790.5683168746353
S010,S25,ingroup,458.39448620807036
S010,S26,outgroup,703.6383673005828
S010,S27,outgroup,607.4171281444343
S010,S28,outgroup,899.9478049127481
S010,S29,outgroup,342.36575097191616
S010,S30,outgroup,537.7255667015138
S010,S31,outgroup,187.14496371127382
S010,S32,outgroup,669.087414086743
S010,S33,outgroup,734.62229912577
S010,S34,outgroup,692.2599902874236
S010,S35,outgroup,570.9320407758025
S010,S36,outgroup,465.8611945439341
S010,S37,outgroup,795.3117458680736
S010,S38,outgroup,497.53385624392655
S010,S39,outgroup,748.1385992983613
S010,S40,outgroup,799.9809345229347
S010,S41,outgroup,606.4823440286382
S010,S42,outgroup,755.7319514544163
S010,S43,outgroup,406.60568419116896
S010,S44,outgroup,490.3319956379132
S010,S45,outgroup,887.8342663965828
S010,S46,outgroup,154.0416570703308
S010,S47,outgroup,1087.785010125948
S010,S48,outgroup,787.3913408635772
S010,S49,outgroup,907.3412359602958
S010,S50,outgroup,402.14905256900727
S011,S01,ingroup,690.9361759989773
S011,S02,ingroup,1057.936758307338
S011,S03,ingroup,679.4443016475639
S011,S04,ingroup,910.9840947234634
S011,S05,ingroup,723.8193592802636
S011,S06,ingroup,869.418282468533
S011,S07,ingroup,1079.9732893132746
S011,S08,ingroup,815.1580183733722
S011,S09,ingroup,1209.83090990355
S011,S10,ingroup,714.3277300742913
S011,S11,ingroup,731.2064981239932
S011,S12,ingroup,638.3664135092963
S011,S13,ingroup,857.5519582117131
S011,S14,ingroup,967.9361693710342
S011,S15,ingroup,451.024885712357
S011,S16,ingroup,986.0912643511067
S011,S17,ingroup,1143.5142613445064
S011,S18,ingroup,1062.361883193212
S011,S19,ingroup,814.0641361893414
S011,S20,ingroup,1125.0461841681054
S011,S21,ingroup,482.8475020134674
S011,S22,ingroup,774.9811036605284
S011,S23,ingroup,1102.986634652883
S011,S24,ingroup,983.2714711293368
S011,S25,ingroup,740.7205782342476
S011,S26,outgroup,1313.0098545118553
S011,S27,outgroup,1006.8101264942052
S011,S28,outgroup,1066.5805225002807
S011,S29,outgroup,799.7458768940521
S011,S30,outgroup,1070.104011782469
S011,S31,outgroup,881.5488036978605
S011,S32,outgroup,1171.1652508994732
S011,S33,outgroup,839.9119819290773
S011,S34,outgroup,1087.8026928059141
S011,S35,outgroup,640.3727008106816
S011,S36,outgroup,969.8052418295066
S011,S37,outgroup,1072.417853133323
S011,S38,outgroup,554.78761307327
S011,S39,outgroup,1128.76333014159
S011,S40,outgroup,699.035743817818
S011,S41,outgroup,1013.1245872768226
S011,S42,outgroup,819.1720461684738
S011,S43,outgroup,992.4156254026121
S011,S44,outgroup,1092.1293368289844
S011,S45,outgroup,821.68141182865
S011,S46,outgroup,1053.267134933746
S011,S47,outgroup,928.462647462388
S011,S48,outgroup,991.3816213736615
S011,S49,outgroup,802.5261109991944
S011,S50,outgroup,731.2896518473254
S012,S01,ingroup,678.7612481260506
S012,S02,ingroup,813.7506615728603
S012,S03,ingroup,523.8183011783241
S012,S04,ingroup,362.30922112305075
S012,S05,ingroup,566.677787999866
S012,S06,ingroup,666.0240201044361
S012,S07,ingroup,694.3800198141386
S012,S08,ingroup,961.2181201345214
S012,S09,ingroup,748.6397088820223
S012,S10,ingroup,672.4278478633103
S012,S11,ingroup,619.5044585584482
S012,S12,ingroup,834.4885801786819
S012,S13,ingroup,337.7223565458646
S012,S14,ingroup,1041.5408997267846
S012,S15,ingroup,477.6367896884294
S012,S16,ingroup,670.0097488791549
S012,S17,ingroup,739.0997222462867
S012,S18,ingroup,637.4436109461195
S012,S19,ingroup,767.159784700292
S012,S20,ingroup,1031.294745429515
S012,S21,ingroup,843.3167509478278
S012,S22,ingroup,1134.0786472806924
S012,S23,ingroup,138.36891084317347
S012,S24,ingroup,467.93083169656654
S012,S25,ingroup,325.7270634377051
S012,S26,outgroup,969.6841129994145
S012,S27,outgroup,910.4177994214781
S012,S28,outgroup,792.5139275849851
S012,S29,outgroup,439.6319671352094
S012,S30,outgroup,683.2534419284225
S012,S31,outgroup,866.0261139198658
S012,S32,outgroup,857.1169799257534
S012,S33,outgroup,746.2106215304543
S012,S34,outgroup,887.9395939666888
S012,S35,outgroup,721.6093345214935
S012,S36,outgroup,456.2455270893161
S012,S37,outgroup,852.7989344892844
S012,S38,outgroup,579.2040338978657
S012,S39,outgroup,669.9520030293337
S012,S40,outgroup,882.7039446885482
S012,S41,outgroup,634.4706389457523
S012,S42,outgroup,230.00824727582386
S012,S43,outgroup,292.3499810154224
S012,S44,outgroup,1008.3312350480551
S012,S45,outgroup,618.3959462752205
S012,S46,outgroup,477.88815304124785
S012,S47,outgroup,104.20935254665449
S012,S48,outgroup,677.6294809467399
S012,S49,outgroup,641.6200986160716
S012,S50,outgroup,429.3240472927704
S013,S01,ingroup,833.0385193141909
S013,S02,ingroup,993.8445632848449
S013,S03,ingroup,441.24928258186304
S013,S04,ingroup,779.316705810309
S013,S05,ingroup,752.1982136447522
S013,S06,ingroup,1160.842923425651
S013,S07,ingroup,825.1191582743091
S013,S08,ingroup,750.841785917335
S013,S09,ingroup,774.3904330936301
S013,S10,ingroup,752.2110636577954
S013,S11,ingroup,566.1893096210267
S013,S12,ingroup,797.3374732076878
S013,S13,ingroup,500.2971728180124
S013,S14,ingroup,954.4239433710163
S013,S15,ingroup,943.1415947170374
S013,S16,ingroup,839.19368859054
S013,S17,ingroup,851.6061479553613
S013,S18,ingroup,970.1029293473728
S013,S19,ingroup,914.937144435178
S013,S20,ingroup,719.6893583123959
S013,S21,ingroup,571.2751770335341
S013,S22,ingroup,1098.94594709038
S013,S23,ingroup,655.4275002231882
S013,S24,ingroup,1025.5364601938845
S013,S25,ingroup,643.561186442368
S013,S26,outgroup,691.801220970903
S013,S27,outgroup,737.878230076977
S013,S28,outgroup,814.6905065656712
S013,S29,outgroup,756.9962821857436
S013,S30,outgroup,844.7966529723703
S013,S31,outgroup,633.2759097177357
S013,S32,outgroup,711.8726541154242
S013,S33,outgroup,856.2408575460481
S013,S34,outgroup,834.9925888824564
S013,S35,outgroup,1016.3757076650387
S013,S36,outgroup,731.5730524959484
S013,S37,outgroup,735.2831913181858
S013,S38,outgroup,964.3470910594442
S013,S39,outgroup,1076.078898865474
S013,S40,outgroup,805.6692760567757
S013,S41,outgroup,845.9883093498698
S013,S42,outgroup,778.3875602698465
S013,S43,outgroup,779.1524890208378
S013,S44,outgroup,1012.5461091872103
S013,S45,outgroup,526.9182148481877
S013,S46,outgroup,948.7409624942327
S013,S47,outgroup,823.7744539096627
S013,S48,outgroup,855.4074800943065
S013,S49,outgroup,966.9674642031764
S013,S50,outgroup,692.3656467772887
S014,S01,ingroup,568.8527882493717
S014,S02,ingroup,850.7882101022326
S014,S03,ingroup,746.2841330803479
S014,S04,ingroup,746.5739530747088
S014,S05,ingroup,722.8986242951967
S014,S06,ingroup,722.851154934768
S014,S07,ingroup,733.3302979432955
S014,S08,ingroup,438.45556152061135
S014,S09,ingroup,888.6603189018492
S014,S10,ingroup,641.9054813237905
S014,S11,ingroup,607.6031864093469
S014,S12,ingroup,1001.9273999097755
S014,S13,ingroup,308.8864586731703
S014,S14,ingroup,1035.5393078295438
S014,S15,ingroup,487.73179743737
S014,S16,ingroup,580.2308740060505
S014,S17,ingroup,956.6635404965186
S014,S18,ingroup,1044.5173041096082
S014,S19,ingroup,454.0486664103031
S014,S20,ingroup,477.4528955780152
S014,S21,ingroup,684.9880759225235
S014,S22,ingroup,1044.80030749757
S014,S23,ingroup,834.0461266464757
S014,S24,ingroup,906.5533534349778
S014,S25,ingroup,316.536508736531
S014,S26,outgroup,1071.0514557782967
S014,S27,outgroup,771.245542890454
S014,S28,outgroup,740.5893600527661
S014,S29,outgroup,616.2628211255533
S014,S30,outgroup,855.8428621351926
S014,S31,outgroup,596.3424371342234
S014,S32,outgroup,954.3554633020816
S014,S33,outgroup,949.8587027299051
S014,S34,outgroup,574.7200152589256
S014,S35,outgroup,874.214262933962
S014,S36,outgroup,914.3123484408618
S014,S37,outgroup,624.848303528749
S014,S38,outgroup,592.2111982155004
S014,S39,outgroup,1208.3327939301785
S014,S40,outgroup,847.5761710182924
S014,S41,outgroup,681.6798359735419
S014,S42,outgroup,832.0800584077168
S014,S43,outgroup,673.9316525730802
S014,S44,outgroup,562.819361885779
S014,S45,outgroup,761.5718639970295
S014,S46,outgroup,358.9878731141229
S014,S47,outgroup,875.1729639176451
S014,S48,outgroup,701.9297244210555
S014,S49,outgroup,884.5884162878162
S014,S50,outgroup,631.6280905695318
S015,S01,ingroup,547.9013235268824
S015,S02,ingroup,913.6718551084532
S015,S03,ingroup,1254.5265842486042
S015,S04,ingroup,690.0142877170974
S015,S05,ingroup,669.949303167587
S015,S06,ingroup,1037.567513279843
S015,S07,ingroup,1359.5858159870854
S015,S08,ingroup,603.883320709037
S015,S09,ingroup,996.0798696021906
S015,S10,ingroup,710.9003019701013
S015,S11,ingroup,545.4317607134058
S015,S12,ingroup,824.8568423139808
S015,S13,ingroup,461.4721266818903
S015,S14,ingroup,936.1252959919054
S015,S15,ingroup,687.2834856533843
S015,S16,ingroup,1044.087059337084
S015,S17,ingroup,1032.6171684929275
S015,S18,ingroup,1143.9467970993474
S015,S19,ingroup,386.73996830670956
S015,S20,ingroup,745.0644832448031
S015,S21,ingroup,199.89924341970948
S015,S22,ingroup,868.75256464347
S015,S23,ingroup,834.1524013685672
S015,S24,ingroup,667.0550023634854
S015,S25,ingroup,856.6552752664163
S015,S26,outgroup,859.0109007464903
S015,S27,outgroup,1165.7906588751162
S015,S28,outgroup,1037.3552651840248
S015,S29,outgroup,686.9992392980355
S015,S30,outgroup,813.4405182219044
S015,S31,outgroup,761.7261432859508
S015,S32,outgroup,821.0406105469087
S015,S33,outgroup,1205.5229924226537
